Model,MSE_Train,R2_Train,MSE_Test,R2_Test,Accuracy_Train,Recall_Train,Accuracy_Test,Recall_Test
Linear Regression,1.0837524229733522e+16,0.8032174265433503,6.534017617436471e+16,-0.0872080946651259,,,,
Linear Regression with PCA,4.938286704987017e+16,0.103329556017981,5.670291783986738e+16,0.0565089524380245,,,,
Random Forest,7528704212179114.0,0.8632973953957238,5.58946248073191e+16,0.069958299827337,,,,
Support Vector Regressor,6.210355817698101e+16,-0.1276466598664831,6.768609346030623e+16,-0.1262422756548478,,,,
Stochastic Gradient Descent,1.3547172386416534e+16,0.7540169333189617,5.51930730067518e+16,0.0816315587785871,,,,
Own closed Linear Regression,1.15304576570173e+16,0.7906354733071183,6.622448272652024e+16,-0.1019222460182422,,,,
Own Gradient Descent,4.768134337480732e+16,0.1342250078276898,5.490024252093257e+16,0.0865040230599476,,,,
PyTorch Linear Regression,5.145567789824713e+16,0.0656924495731902,5.687425493697359e+16,0.0536580406438291,,,,
Own Gradient Descent with Regularisation (ridge),5.38480732356845e+16,0.0222524810668229,5.917604933401066e+16,0.0153580291159238,,,,
Own Gradient Descent with Regularisation (lasso),4.7635972610670136e+16,0.1350488284289037,5.4990912238180136e+16,0.0849953517293179,,,,
SGD Regressor tuned,2.983326259759693e+16,0.4583019088015926,5.064177145755155e+16,0.1573615640413186,,,,
Random Forest tuned,7078284353547277.0,0.8714759034238191,5.350834772751317e+16,0.1096640353973728,,,,
SVR tuned,6.2103542547867976e+16,-0.1276463760805355,6.768607811749602e+16,-0.1262420203627989,,,,
Voting Regressor,1.6777114316409692e+16,0.6953691949954997,5.387604134965358e+16,0.1035459086068814,,,,
Stacking Regressor,1.7999489157054884e+16,0.6731738981941435,5.315604208134141e+16,0.1155261186169224,,,,
RandomForestClassifier,4843905689834410.0,0.9120466808635352,5.515029755008114e+16,0.0823433080493765,,,,
LogisticRegression,,,,,0.8963481906443072,0.015425531914893617,0.9041708043694141,0.04455445544554455
